"","x"
"1",19.4566141067664
"2",23.7827166825343
"3",22.3673410391822
"4",17.7633148444202
"5",19.194568013733
"6",23.4531158066948
"7",22.1582836313918
"8",18.640824748905
"9",19.6438723427769
"10",21.8441616688544
"11",22.5520615078569
"12",21.0777340595077
"13",21.5680941988348
"14",18.2183656354609
"15",20.3518132414524
"16",19.1041579845167
"17",22.5456433303671
"18",15.5782564521918
"19",17.9382676756823
"20",22.6671727023537
"21",18.4468466625897
"22",18.3854570932887
"23",19.644726432324
"24",19.7205308382804
"25",18.3108248455065
"26",17.7795661571305
"27",18.4868725584914
"28",20.2423276462034
"29",19.9143596671241
"30",21.6792793498676
"31",17.4820848334232
"32",18.6822822401513
"33",24.526467099472
"34",22.3593846323203
"35",18.9055817593261
"36",19.9327973639821
"37",21.0523401915663
"38",21.1160716854833
"39",17.9070525624234
"40",21.9860825880226
