,x
1,10.4173786
2,15.01599118
3,7.365403622
4,3.973651743
5,33.85074839
6,4.107270925
7,6.113518057
8,1.818566876
9,31.2289431
10,4.310260159
11,1.43578798
12,17.30332031
13,3.907233546
14,26.6690834
15,3.492419659
16,10.5816862
17,1.097937431
18,1.821428672
19,20.43017145
20,10.47952242
21,6.737540141
22,32.62912011
23,7.739792388
24,2.221885514
25,3.49296255
26,40.37243029
27,13.08342301
28,8.159165265
29,5.006784045
30,7.12718277
31,6.673463006
32,18.95162824
33,2.749942585
34,6.193922944
35,5.121999718
36,1.138303448
37,7.952996283
38,27.02820806
39,23.22761216
40,4.883391685
41,3.753526043
42,5.642739856
43,2.57194574
44,15.76916525
45,4.038498649
46,0.124417217
47,0.715118113
48,2.514590017
49,3.143685502
50,7.583086052
51,5.002504368
52,15.55300249
53,44.94244033
54,15.40318806
55,6.511476799
56,14.38834209
57,8.466987302
58,15.57268917
59,10.97118074
60,0.891874932
61,7.440440062
62,20.66011708
63,35.60907101
64,4.072171929
65,1.026421641
66,0.197626273
67,2.170968591
68,4.195811958
69,19.86966042
70,11.43559087
71,3.398702922
72,1.833872297
73,0.131414575
74,0.983213566
75,3.478531216
76,14.11179564
77,10.97698311
78,3.515271829
79,11.68834515
80,1.830239878
81,4.029679871
82,5.978474547
83,10.82109623
84,28.33227582
85,5.81350564
86,20.88612641
87,1.064621131
88,2.566508912
89,21.94690535
90,3.689267165
91,3.04352066
92,0.354098366
93,4.702922657
94,5.732947462
95,18.36119339
96,1.222268274
97,20.07124809
98,21.66890113
99,0.346087574
100,19.39433724
