"","x"
"1",11.3570193551324
"2",15.340191116458
"3",10.901324803165
"4",11.1876214143406
"5",12.5338638121925
"6",11.5987775394162
"7",12.7273987092279
"8",12.5697951832252
"9",13.9743392300357
"10",13.6639147677438
"11",12.1353823653618
"12",13.0737932829684
"13",12.7633028684638
"14",14.7505888282861
"15",15.4390355070697
"16",11.7477317503346
"17",12.824675741268
"18",11.8554946860045
"19",13.2652650127172
"20",12.6506098209274
"21",11.1261366957929
"22",13.0573093085697
"23",11.1127325999221
"24",11.043929413489
"25",13.2187192237776
"26",13.4130131906482
"27",12.1777135086311
"28",11.6216137629599
"29",11.571391895688
"30",13.4160005362229
"31",13.6986669708981
"32",14.0738043154384
"33",14.7905817495188
"34",12.3230800290679
"35",12.4557062033979
"36",10.6969013754841
"37",12.385091807778
"38",12.1030980397478
"39",12.985274825094
"40",13.4778233742165
"41",11.9466622061249
"42",12.6585281845334
"43",13.2702254512046
"44",12.5438070777939
"45",12.7913286189664
"46",14.3070211580696
"47",12.5411510169417
"48",13.8507184718126
"49",12.9635563153617
"50",13.7619534147494
