,x
1,10.33711858
2,10.80820906
3,13.1356423
4,13.79936227
5,8.89048337
6,9.795186897
7,11.90407259
8,11.53101246
9,8.045706447
10,9.651706199
11,13.58535928
12,7.553500967
13,9.162251147
14,12.80004059
15,11.76470883
16,10.77022249
17,12.32582774
18,10.99608901
19,13.90848836
20,11.73379449
21,8.357341354
22,11.14743237
23,14.20935155
24,16.17823848
25,14.01543799
26,14.6500432
27,10.93088239
28,12.00029393
29,9.980495734
30,10.90008381
31,12.18417777
32,9.04843967
33,13.59527995
34,11.54918843
35,12.05141213
36,9.795030418
37,12.61220683
38,10.22384728
39,12.70569595
40,14.12198669
41,12.7757794
42,9.195208195
43,12.75447049
44,14.3347699
45,14.62928899
46,13.56887763
47,11.91880567
48,12.63532011
49,13.26663557
50,15.48064856
51,9.364741637
52,11.81564131
53,11.42354307
54,12.6655455
55,10.46347273
56,11.69003479
57,10.94660472
58,10.45687038
59,14.19175363
60,10.76107454
61,13.04496995
62,11.60040512
63,10.93825576
64,13.00212789
65,14.77143903
66,11.98898102
67,15.10926231
68,14.05299581
69,11.43219945
70,10.35917136
71,13.60971757
72,11.61482924
73,11.38104925
74,9.835886684
75,12.70735762
76,12.56815969
77,13.7134273
78,8.745706448
79,11.0813388
80,12.84136753
81,12.63171353
82,12.22104496
83,11.66585034
84,13.08861675
85,9.92516864
86,11.85770999
87,13.05531313
88,15.75288369
89,12.54319167
90,12.63246209
91,10.18562997
92,12.05635334
93,10.30158133
94,12.59589508
95,11.92601694
96,11.48571235
97,11.89796742
98,11.63679805
99,10.87080692
100,13.05201341
