,x
1,3.008245867
2,2.677635293
3,0.065782967
4,1.805749683
5,0.752509424
6,0.851757768
7,5.092822324
8,1.515731605
9,2.168624246
10,7.945904355
11,0.380414815
12,0.295755595
13,0.428726113
14,0.038975504
15,3.53685011
16,3.60534149
17,7.513186913
18,1.543715082
19,1.688880115
20,4.611464491
21,3.061772343
22,0.433494791
23,0.197992249
24,1.538989618
25,1.64503525
26,1.679540135
27,1.670719042
28,6.079978481
29,4.12100831
30,2.18032873
31,0.647972903
32,0.746044747
33,2.171552231
34,8.273616563
35,0.645297953
36,2.075188363
37,2.802003929
38,0.650207594
39,4.21908749
40,0.043585439
41,0.598336355
42,0.855935665
43,0.640667943
44,6.208805948
45,2.340963069
46,1.596455366
47,2.388110641
48,1.934753776
49,0.191196586
50,3.385545072
51,0.970040038
52,4.139416531
53,1.88175847
54,0.041801173
55,2.228536922
56,1.229469641
57,2.746759539
58,0.562067865
59,7.647359929
60,3.877309076
61,4.449435364
62,2.211769182
63,0.594887184
64,0.296218568
65,2.85339209
66,6.404794539
67,2.832672722
68,1.850433033
69,3.101994112
70,0.571625388
71,0.147028995
72,3.277959488
73,6.855808288
74,2.080439741
75,4.098411146
76,0.747634905
77,1.181117956
78,0.680556662
79,0.15972933
80,3.047873329
81,3.241351664
82,10.121547
83,0.624802063
84,0.275105867
85,2.078241313
86,2.447127806
87,16.20090767
88,8.618870057
89,2.183667416
90,2.220542606
91,3.080754063
92,1.54520634
93,0.617544243
94,3.406148068
95,0.262925071
96,1.004195393
97,2.368698738
98,1.187457385
99,0.434273351
100,2.980157285
101,0.993608377
102,3.451302143
103,0.904716663
104,0.763618785
105,1.895095455
106,3.022899446
107,1.591818251
108,0.184631822
109,3.464970245
110,1.013631959
111,3.198388826
112,10.52729044
113,0.175999771
114,1.885195611
115,3.442643843
116,0.796311216
117,0.308890535
118,1.027822498
119,2.814163313
120,0.02326834
121,0.302493809
122,9.901627276
123,0.544096697
124,2.904393904
125,1.116557212
126,9.414255239
127,3.221470374
128,2.695242587
129,0.274968571
130,1.239716043
131,1.256735256
132,1.043871915
133,5.231810014
134,7.385963779
135,6.464831471
136,0.571151244
137,0.919663675
138,1.251923413
139,1.813216839
140,2.560220146
141,0.131814902
142,0.001072127
143,3.341134127
144,0.121834204
145,1.411652808
146,0.164532492
147,2.357715345
148,0.325649158
149,5.018801305
150,0.437959386
151,5.482908535
152,6.530713811
153,1.158269847
154,3.778716899
155,0.121957046
156,2.990363425
157,1.64729829
158,9.208071507
159,3.805241179
160,0.798630923
161,0.656271794
162,1.03741561
163,2.49535262
164,6.981881272
165,1.749271234
166,0.839711413
167,3.792967062
168,5.693889543
169,7.681953399
170,2.857305389
171,1.639793054
172,3.215011382
173,7.465666053
174,0.127824353
175,5.86624439
176,0.428651007
177,1.08590268
178,2.908330407
179,0.189057326
180,1.616684996
181,0.976634925
182,1.616176909
183,4.010584138
184,5.476633589
185,1.047765207
186,3.731995758
187,0.23452909
188,1.07547269
189,0.30142798
190,1.120460223
191,1.680534597
192,0.042636466
193,1.13428682
194,0.035678148
195,2.956763275
196,1.7326815
197,1.352199413
198,1.003736222
199,1.39774034
200,5.751188673
201,0.827805145
202,0.357518964
203,2.032495446
204,0.320914766
205,2.265137764
206,4.599668312
207,3.127484856
208,2.045606951
209,13.03472039
210,1.419072147
211,7.688084673
212,0.057431466
213,0.729032004
214,1.671966196
215,0.020554526
216,2.471325051
217,1.527618498
218,3.859212383
219,1.520245578
220,1.221400785
221,1.126373102
222,0.063665444
223,1.098330793
224,1.698702565
225,0.011953874
226,2.737120204
227,2.439501063
228,2.325288337
229,2.824814081
230,0.809397197
231,0.022548215
232,3.008139301
233,0.327106615
234,0.444412445
235,0.038597899
236,3.341796048
237,0.290386432
238,6.777613267
239,1.348096004
240,1.309787997
241,2.173589384
242,0.047299555
243,4.124082915
244,4.471032273
245,0.680655252
246,1.752334138
247,0.164420529
248,1.471157927
249,1.289014851
250,0.785098622
251,0.876451745
252,1.251355008
253,1.711213948
254,2.196703112
255,0.410411408
256,0.435294587
257,2.027163874
258,0.193939057
259,2.548120879
260,3.849153265
261,3.724177345
262,3.285824114
263,2.182193156
264,0.111187937
265,0.280190346
266,3.321173559
267,0.122913507
268,11.76125026
269,2.600035803
270,1.715371804
271,2.019928463
272,1.284632443
273,2.828441997
274,0.289862016
275,1.678070513
276,1.721469741
277,1.04366743
278,4.239618767
279,0.934550622
280,4.15108557
281,2.978530089
282,0.034622348
283,0.517466635
284,4.64613314
285,0.813249619
286,2.194847189
287,3.864183292
288,0.669961222
289,3.037069246
290,0.35046526
291,3.596608192
292,4.031917084
293,0.127368575
294,1.236399957
295,2.713991716
296,5.023850113
297,3.893350262
298,1.048238454
299,0.774152899
300,5.298784438
301,1.610071035
302,8.24130107
303,2.781143132
304,1.964187687
305,0.341529674
306,0.456442183
307,0.812493374
308,0.289979953
309,0.628567915
310,6.850422874
311,2.141432233
312,1.60834117
313,0.996160342
314,1.395804915
315,2.375165943
316,1.985125484
317,0.277214638
318,1.661019964
319,1.903146647
320,3.92376218
321,0.82775654
322,0.261274314
323,1.439943582
324,0.606668217
325,1.290305788
326,4.132452003
327,0.131397447
328,3.975507032
329,2.169574665
330,1.923098821
331,0.867763838
332,1.846977939
333,0.349740339
334,2.097930236
335,1.033642164
336,1.993780347
337,8.12271906
338,5.292424516
339,1.931464789
340,5.978121563
341,2.097580241
342,0.025568481
343,0.446195923
344,1.32862502
345,1.920042974
346,3.321101766
347,0.183030653
348,0.898181564
349,1.827834312
350,10.09946141
351,0.397804542
352,0.361265361
353,2.254363084
354,4.346941281
355,0.351400796
356,11.22459456
357,0.733577294
358,6.846142232
359,1.158330763
360,2.799760425
361,1.598516336
362,0.964662218
363,0.837081134
364,2.515555153
365,4.262638669
366,2.044506503
367,0.644891621
368,2.680647505
369,0.0586023
370,3.751979108
371,0.47720272
372,1.412978219
373,3.393978555
374,2.403249025
375,1.178637133
376,4.931415681
377,0.025021643
378,0.895776709
379,1.22565867
380,1.353030433
381,2.147395066
382,1.151099533
383,2.172487503
384,1.938459916
385,0.74299163
386,1.959973854
387,0.682878313
388,1.752273259
389,2.262902989
390,0.423927499
391,0.275412671
392,4.982719708
393,2.316367349
394,3.885798309
395,3.503158577
396,0.010929612
397,1.412592688
398,0.074741133
399,0.096922182
400,0.232813419
401,0.904075371
402,5.781919148
403,1.97637573
404,3.856239445
405,0.281139089
406,4.232881393
407,2.095419835
408,1.421235697
409,0.609561021
410,3.41601029
411,0.74184732
412,2.673941871
413,0.172002034
414,1.459064964
415,6.385982752
416,2.928009935
417,0.565325577
418,2.927795149
419,0.058497557
420,0.833884412
421,2.08546935
422,0.388303414
423,1.497827977
424,8.873328707
425,1.055777191
426,2.414976321
427,0.073046096
428,0.356568876
429,4.515114661
430,0.416038948
431,2.357033595
432,0.581437522
433,5.460344951
434,4.910542008
435,0.59595128
436,1.047759419
437,0.183499816
438,0.843732327
439,2.097175099
440,0.504884257
441,6.328970357
442,1.205991083
443,0.089464212
444,0.793793486
445,0.344389937
446,0.137309995
447,0.480326216
448,0.180804091
449,0.45169764
450,0.285585325
451,4.016645528
452,2.282540699
453,1.6474593
454,0.770781692
455,0.506236508
456,2.933498576
457,1.825977361
458,0.401369431
459,7.059251868
460,3.310043603
461,0.895319115
462,0.20339766
463,6.83851172
464,0.5952785
465,5.211723249
466,6.966022158
467,2.020976189
468,1.665370793
469,1.434867276
470,3.307598285
471,1.272050623
472,0.163001532
473,1.382407364
474,1.02976211
475,2.524356395
476,0.678294862
477,5.111222539
478,4.71884508
479,2.428471352
480,2.260274561
481,0.020296811
482,0.31892556
483,2.192612134
484,0.125055844
485,0.521899952
486,2.040299509
487,2.491242036
488,2.682168722
489,0.211094754
490,2.504337268
491,1.623312794
492,1.233428758
493,1.281780731
494,4.986959508
495,0.073323934
496,1.989954617
497,0.600410957
498,1.481561167
499,3.561148591
500,0.086374366
501,3.29148139
502,1.686563453
503,0.357666271
504,2.570263024
505,0.193640815
506,1.765669854
507,0.561436749
508,9.704885218
509,1.292483779
510,2.901344154
511,1.728177798
512,1.751610391
513,0.151240795
514,0.45037219
515,2.275537452
516,0.660268306
517,1.387676854
518,0.830181216
519,2.798512682
520,1.485642956
521,3.750084609
522,1.278201052
523,2.700918389
524,4.104190249
525,7.427286814
526,1.614092559
527,1.394705077
528,1.18059097
529,1.493348813
530,2.722572401
531,2.112830248
532,2.246161422
533,1.256012365
534,0.267243418
535,4.585138041
536,0.755403922
537,0.357715641
538,4.734048793
539,3.687997326
540,4.201418746
541,0.66013643
542,1.383734345
543,4.176042702
544,3.239111323
545,0.025159435
546,5.382061038
547,0.634797786
548,1.90028338
549,0.817491196
550,2.150180949
551,2.242068733
552,2.637542142
553,1.963444713
554,0.140720931
555,4.625842508
556,0.128045638
557,0.982692649
558,2.656108627
559,3.054220808
560,2.358865006
561,0.18609149
562,3.084312517
563,1.57136682
564,0.120097104
565,0.133610529
566,1.653331654
567,1.267204485
568,3.564138301
569,0.577776243
570,0.351572671
571,1.088311186
572,1.910585489
573,1.378188794
574,0.040607861
575,3.232303317
576,1.492408644
577,0.823781286
578,1.941721499
579,0.613723652
580,0.599332286
581,1.195085375
582,1.649646393
583,1.374563691
584,0.142193988
585,6.509567082
586,6.368558675
587,2.336780462
588,6.772077411
589,0.287680994
590,0.118329533
591,0.618688658
592,2.140789168
593,0.18564424
594,0.46614612
595,1.554754683
596,2.817306816
597,2.811778212
598,0.808429954
599,1.849612478
600,3.878245152
601,4.388018096
602,1.031305912
603,0.019218185
604,0.770850974
605,1.671666085
606,0.987182061
607,0.270496266
608,0.311840414
609,0.628608583
610,0.41198756
611,0.431838398
612,0.933460143
613,2.133590129
614,0.32226624
615,0.434779775
616,0.527114296
617,0.282531822
618,1.734669561
619,0.275432421
620,1.008951811
621,0.605973177
622,0.86896471
623,0.615493934
624,1.030395306
625,1.808718521
626,1.538597481
627,0.987391963
628,0.002674395
629,0.473021282
630,0.942628916
631,1.405314449
632,1.611999463
633,3.667546153
634,0.21132018
635,4.097683001
636,2.209331578
637,0.663694368
638,0.146631652
639,1.001052951
640,1.44495285
641,4.482610684
642,2.586435119
643,2.48596512
644,0.538979327
645,0.078063048
646,0.088047645
647,1.844290513
648,2.215785479
649,2.053905917
650,4.805816296
651,0.135818053
652,4.694845866
653,0.159723383
654,4.897308592
655,5.064701747
656,2.761758234
657,3.019184188
658,6.167635753
659,1.496274647
660,2.439078635
661,0.14580493
662,0.015340733
663,0.549654338
664,0.492236574
665,1.089938347
666,1.832808016
667,3.354152117
668,1.946282359
669,1.646174192
670,0.295246222
671,1.676336894
672,5.61719934
673,2.733626299
674,0.14084307
675,0.576212708
676,0.272238335
677,1.692209027
678,0.832401972
679,0.207127742
680,5.455019686
681,2.321277613
682,0.50115525
683,1.866729207
684,6.449979603
685,0.045807132
686,2.80452007
687,1.321537179
688,0.883869092
689,0.687982199
690,0.948794295
691,0.930748398
692,2.945017126
693,3.578594222
694,1.191099501
695,0.703956721
696,1.449526752
697,1.588816207
698,0.029343133
699,0.308319112
700,2.165708255
701,6.591691121
702,1.696015447
703,1.60874597
704,0.200888642
705,2.328113975
706,3.550572042
707,0.59162961
708,0.854340493
709,1.319090256
710,5.0576093
711,0.013406992
712,0.611110657
713,1.559949223
714,1.00378763
715,1.788333737
716,5.034918446
717,1.888545689
718,1.46167161
719,2.672594409
720,0.314568982
721,2.364222551
722,0.332615078
723,1.801920494
724,1.01554804
725,2.860979625
726,1.611022765
727,0.743100768
728,0.340405572
729,0.488163006
730,1.250364996
731,3.13630754
732,1.822097829
733,0.443684929
734,0.933266864
735,0.17956604
736,0.125174729
737,0.926547708
738,2.436388956
739,3.724449068
740,6.463820174
741,0.667831182
742,2.356623864
743,0.505514598
744,0.121975854
745,1.507290134
746,0.239599499
747,2.975650702
748,0.600070133
749,2.519533532
750,4.847101282
751,2.375798874
752,3.893398337
753,3.064932523
754,0.784701722
755,2.844452552
756,1.851447411
757,0.049103218
758,0.084000346
759,0.449295632
760,0.949700932
761,1.081146292
762,2.149983434
763,1.668230655
764,2.156600498
765,1.438284878
766,3.617967464
767,3.441277187
768,0.751860716
769,0.799283681
770,0.031828784
771,0.78082501
772,0.336280202
773,0.369636678
774,5.062012564
775,0.069031201
776,13.42832419
777,0.69900176
778,0.493942714
779,2.095598906
780,4.527072704
781,0.496745497
782,1.273048415
783,1.88238976
784,0.084475356
785,1.294714826
786,0.170248785
787,3.132882513
788,0.748023159
789,1.324304643
790,6.39763163
791,0.001845155
792,1.411692185
793,1.162470032
794,0.267571551
795,0.906659666
796,1.722595127
797,4.16691285
798,4.077496372
799,0.182537536
800,2.201144632
801,1.988847535
802,1.583905537
803,2.979902486
804,1.610946709
805,4.257289015
806,0.110909948
807,0.855210696
808,0.482435857
809,2.442612145
810,1.883927727
811,0.474840939
812,2.146673115
813,5.142745156
814,1.144218038
815,2.069475979
816,2.877716666
817,0.307304265
818,0.581921341
819,2.26704092
820,1.313125573
821,6.6797719
822,0.879858952
823,1.789387228
824,5.259669367
825,4.923684168
826,1.281914655
827,2.117952133
828,0.79988019
829,3.752238385
830,0.530789579
831,0.171636102
832,1.745927414
833,9.540166117
834,2.884784877
835,1.145046909
836,0.392043915
837,2.981749255
838,0.12086718
839,1.471134895
840,1.820175873
841,0.04004402
842,0.170451282
843,1.016678428
844,2.274347801
845,1.38482314
846,0.500603496
847,4.856410537
848,0.769030373
849,1.26798839
850,9.485886491
851,0.472760348
852,8.363942486
853,3.305435874
854,4.429539706
855,3.810996398
856,1.090710816
857,1.033466133
858,0.645171525
859,1.769424986
860,3.126669634
861,0.517162344
862,0.968537485
